          date_of_birth          join_date
0            1990-09-30         2018-10-10
1            1940-12-01         2001-12-20
2            1995-08-02         2016-12-16
3            1972-09-23         2004-02-23
4            1952-12-20         2006-09-01
5            1949-08-12         2002-01-21
6            1952-11-10         2004-06-23
7            2006-08-05         2008-04-19
8            1959-11-13         1993-07-10
9            1992-10-09         1998-05-15
10           1956-11-09         2007-04-22
11           1955-02-20         2017-09-11
12           1987-11-08         2018-02-06
13           1963-07-17         2006-07-21
14           1977-12-27         2001-09-22
15           1971-09-10         2022-05-21
16           1988-11-02         2007-03-20
17           1994-06-05         2021-02-24
18           1966-01-08         2015-03-16
19           2003-06-10         2007-07-07
20           1998-06-02         2001-04-30
21           1940-11-04         2006-02-04
22           1944-05-07         1997-12-19
23           1999-02-18         2001-04-07
24           2005-02-22         2010-10-12
25           1951-04-15         2016-01-02
26           1981-07-19         1994-08-14
27           1979-07-29         2001-09-23
28           1989-05-03         2004-02-06
29           1983-04-07         2012-10-19
30           1968-01-09         2015-08-05
31           1944-05-25         2001-06-15
32           1985-08-18         2015-03-15
33           1971-12-02         1995-02-05
34           1949-10-06         2000-07-18
35           1946-06-30         2007-01-05
36           1996-10-26         2017-06-27
37           1999-01-29         2012-04-28
38           1950-05-22         2007-09-04
39           2006-08-24         1996-02-26
40           1955-06-28         2012-12-12
41           1991-04-29         1993-11-07
42           1991-04-03         2009-05-11
43           1943-04-22         2009-04-16
44           1947-01-05         2005-10-09
45           1990-08-10         2017-03-11
46           1951-03-05         2020-03-30
47           1983-02-10         2020-01-29
48           1978-10-01         1996-11-16
49           1950-06-21         2008-05-21
50           1950-12-09         1996-05-18
51           1967-04-26         2016-07-18
52           1977-02-12         2008-05-03
53           1944-05-07         2009-06-02
54           2004-10-23         2011-03-28
55           1969-08-19         2012-02-09
56           1971-02-09         2007-10-31
57           1980-12-13         2004-08-19
58           1998-10-28         2005-06-06
59           1959-05-05         2011-12-13
60           2003-01-29         2012-09-14
61           2003-10-10         2013-05-21
62           1956-10-24         2015-03-31
63           1994-07-20         2015-07-12
64           2003-11-05         1992-12-02
65           1957-03-06         1994-03-31
66           1940-10-23         1997-06-13
67           1945-11-18         2018-03-26
68           1958-08-19         1998-10-02
69           1998-11-27         2003-10-27
70           1972-12-24         2018-11-16
71           1956-03-01         2012-10-29
72           1955-09-19         1999-09-30
73           1945-02-06         2003-04-06
74           1984-09-22         2001-12-05
75           1981-11-20         2007-04-01
76           1950-07-12         2000-07-28
77           1942-06-21         2019-10-30
78           1972-10-17         2003-09-11
79           1990-12-17         2001-08-05
80           1980-11-05         1995-10-09
81           1956-11-08         1995-09-12
82           1951-05-30         2021-10-26
83           1970-10-28         2018-02-06
84           1940-01-19         2003-07-09
85           1968-07-21         1997-05-15
86           1940-09-01         2013-06-01
87           1966-06-04         1998-09-02
88           1996-05-29         2006-01-15
89           1942-04-28         2014-12-30
90           1969-06-06         2022-02-18
91           1974-11-06         2006-08-18
92           1964-07-14         1999-12-16
93           1991-06-10         2009-03-24
94           1958-08-22         2020-06-09
95           1949-11-11         2019-08-11
96           1955-12-29         2019-12-11
97           1976-03-11         2015-12-25
98           1991-10-05         1993-11-28
99           1981-10-23         2014-01-26
100          1994-05-08         1993-05-10
101          1952-12-19         1995-06-18
102          2000-03-07         1995-08-23
103          1998-12-28         2004-11-29
104          2002-07-10         2021-01-14
105          1962-09-15         2002-10-12
106          1963-07-03         1997-11-19
107          1957-07-20         2016-12-20
108          1968-06-29         2022-02-21
109          1950-07-30         2009-06-23
110          1957-10-16         2004-12-04
111          2003-11-18         2004-07-01
112          1969-03-18         1997-11-23
113          1950-09-26         2016-03-13
114          1985-10-26         2006-11-10
115          1939-08-28         2011-02-18
116          1959-02-24         2013-02-02
117          2001-03-07         2018-11-11
118          1945-12-07         1993-08-31
119          1959-03-17         2004-02-19
120          2001-04-17         2009-09-22
121          1990-07-11         2021-01-11
122          1992-05-30         2011-03-07
123          1939-06-11         2016-05-26
124          1959-11-04         2020-05-08
125          1962-10-04         1998-12-16
126          2001-10-18         2012-07-18
127          2005-01-25         1999-01-28
128          1967-02-18         2005-04-13
129          1951-02-15         2013-12-01
130          2001-01-10         2017-06-25
131          2005-02-04         2020-03-13
132          1939-05-28         1996-02-20
133          1976-01-29         1997-12-28
134          1939-12-24         2015-07-03
135          1962-08-16         1993-02-14
136          1986-03-30         2008-12-17
137          1990-07-17         1995-11-03
138          1986-12-24         2006-06-21
139          1998-05-18         2019-07-31
140          1978-03-01         2022-07-05
141          1985-05-14         1997-06-25
142          1999-11-08         2019-12-08
143          2005-04-08         2004-03-29
144          1983-06-09         2018-04-07
145          1988-03-18         2016-12-26
146          1997-09-04         2003-04-15
147          1969-09-16         2011-09-12
148          1976-07-03         1998-02-02
149          1946-01-06         1993-01-14
150          1972-05-23         2005-09-27
151          1940-02-21         2014-10-26
152          1985-12-11         2012-11-19
153          2002-11-19         2000-09-29
154          1944-08-08         2013-03-09
155          1971-07-24         2007-08-10
156          1959-06-11         2000-09-14
157          1995-01-28         2000-07-20
158          1968-12-07         2013-04-25
159          1973-02-01         2020-11-21
160          1960-11-14         2000-05-06
161          1976-08-15         2000-07-20
162          1954-12-08         2019-07-27
163          1945-07-19         2010-01-26
164          2006-10-04         2002-12-28
165          1947-06-23         2002-02-19
166          1966-10-24         1998-03-16
167          2004-06-30         2009-01-24
168          1941-07-18         2007-10-04
169          1970-12-25         2010-10-08
170          1972-01-07         2000-10-25
171          1977-09-24         1998-12-22
172          1959-02-07         2003-04-18
173          1953-02-19         2009-06-19
174          1965-07-05         2015-04-26
175          1985-11-16         1993-07-17
176          1971-03-10         2004-03-20
177          1974-01-28         2009-09-09
178          1986-04-04         1995-05-08
179          1997-08-01         2000-01-21
180          1964-05-17         2019-11-27
181          1989-08-02         1997-12-01
182          1949-04-04         2004-05-01
183          1951-07-18         2013-10-05
184          1957-03-31         2010-08-09
185          1980-09-05         1999-07-07
186          1971-07-16         2008-02-07
187          1977-07-03         1995-11-30
